GeneID	HGNC
10605	PAIP1
55604	CARMIL1
22943	DKK1
23303	KIF13B
9805	SCRN1
790	CAD
5533	PPP3CC
79080	CCDC86
5332	PLCB4
143684	FAM76B
8446	DUSP11
56654	NPDC1
6470	SHMT1
4860	PNP
64089	SNX16
5144	PDE4D
63929	XPNPEP3
84532	ACSS1
358	AQP1
3791	KDR
60558	GUF1
220988	HNRNPA3
51466	EVL
10914	PAPOLA
64343	AZI2
10161	LPAR6
54532	USP53
11214	AKAP13
84250	SLF1
79820	CATSPERB
5265	SERPINA1
84619	ZGPAT
57534	MIB1
54913	RPP25
113277	TMEM106A
54477	PLEKHA5
26290	GALNT8
10963	STIP1
26112	CCDC69
29899	GPSM2
7216	TRO
10235	RASGRP2
435	ASL
10493	VAT1
373156	GSTK1
54989	ZNF770
89857	KLHL6
84909	AOPEP
3778	KCNMA1
9975	NR1D2
26020	LRP10
253959	RALGAPA1
8809	IL18R1
2524	FUT2
9474	ATG5
4869	NPM1
1730	DIAPH2
10111	RAD50
4233	MET
3112	HLA-DOB
126382	NR2C2AP
64282	TENT4B
7434	VIPR2
85315	PAQR8
4836	NMT1
8828	NRP2
10951	CBX1
11228	RASSF8
10785	WDR4
27297	CRCP
9648	GCC2
7148	TNXB
1488	CTBP2
57532	NUFIP2
26524	LATS2
80150	ASRGL1
54205	CYCS
115362	GBP5
3344	FOXN2
158219	TTC39B
162963	ZNF610
1281	COL3A1
2697	GJA1
149420	PDIK1L
23411	SIRT1
346389	MACC1
94274	PPP1R14A
8325	FZD8
4824	NKX3-1
27445	PCLO
162967	ZNF320
5187	PER1
5029	P2RY2
214	ALCAM
3174	HNF4G
54976	C20orf27
79718	TBL1XR1
9853	RUSC2
55862	ECHDC1
119467	CLRN3
55972	SLC25A40
10495	ENOX2
11178	LZTS1
3148	HMGB2
8395	PIP5K1B
79053	ALG8
126969	SLC44A3
51184	GPN3
56895	AGPAT4
5802	PTPRS
19	ABCA1
6647	SOD1
150209	AIFM3
285590	SH3PXD2B
23200	ATP11B
54874	FNBP1L
143279	HECTD2
10040	TOM1L1
828	CAPS
10401	PIAS3
64118	DUS1L
51768	TM7SF3
90806	ANGEL2
23166	STAB1
54762	GRAMD1C
6387	CXCL12
55286	C4orf19
26747	NUFIP1
200879	LIPH
221393	ADGRF4
23186	RCOR1
4430	MYO1B
83540	NUF2
4277	MICB
114881	OSBPL7
9053	MAP7
90161	HS6ST2
5501	PPP1CC
4139	MARK1
10840	ALDH1L1
51114	ZDHHC9
23012	STK38L
4361	MRE11
2487	FRZB
2533	FYB1
728	C5AR1
89953	KLC4
85352	SHISAL1
5396	PRRX1
26047	CNTNAP2
5584	PRKCI
10220	GDF11
79370	BCL2L14
55704	CCDC88A
171586	ABHD3
54801	HAUS6
1462	VCAN
51124	IER3IP1
1788	DNMT3A
10284	SAP18
51542	VPS54
2108	ETFA
5573	PRKAR1A
10309	CCNO
192134	B3GNT6
83483	PLVAP
8174	MADCAM1
79774	GRTP1
221395	ADGRF5
83700	JAM3
7057	THBS1
57820	CCNB1IP1
8291	DYSF
4684	NCAM1
2171	FABP5
57758	SCUBE2
10237	SLC35B1
28981	IFT81
79671	NLRX1
6558	SLC12A2
9444	QKI
55700	MAP7D1
27346	TMEM97
55719	SLF2
4904	YBX1
339745	SPOPL
5608	MAP2K6
5926	ARID4A
672	BRCA1
1268	CNR1
6688	SPI1
55808	ST6GALNAC1
2981	GUCA2B
399	RHOH
55423	SIRPG
83593	RASSF5
8857	FCGBP
122553	TRAPPC6B
152503	SH3D19
89932	PAPLN
56265	CPXM1
10516	FBLN5
5105	PCK1
6357	CCL13
9023	CH25H
22875	ENPP4
4131	MAP1B
1836	SLC26A2
57713	SFMBT2
4085	MAD2L1
65084	TMEM135
6236	RRAD
2065	ERBB3
30834	POLR1H
57515	SERINC1
55512	SMPD3
6453	ITSN1
3925	STMN1
7091	TLE4
1362	CPD
51056	LAP3
51088	KLHL5
55742	PARVA
55779	CFAP44
348235	SKA2
7707	ZNF148
9421	HAND1
4913	NTHL1
285527	FRYL
5697	PYY
79767	ELMO3
2823	GPM6A
5157	PDGFRL
163081	ZNF567
160518	DENND5B
22873	DZIP1
166785	MMAA
23230	VPS13A
2859	GPR35
4891	SLC11A2
85458	DIXDC1
128869	PIGU
51520	LARS1
5325	PLAGL1
669	BPGM
898	CCNE1
3689	ITGB2
10018	BCL2L11
6790	AURKA
9140	ATG12
4222	MEOX1
664	BNIP3
80235	PIGZ
283871	PGP
158471	PRUNE2
6775	STAT4
140838	NANP
4286	MITF
5166	PDK4
8671	SLC4A4
80325	ABTB1
5575	PRKAR1B
5322	PLA2G5
150864	FAM117B
6611	SMS
7391	USF1
50814	NSDHL
3597	IL13RA1
253461	ZBTB38
29761	USP25
26228	STAP1
1536	CYBB
11062	DUS4L
23129	PLXND1
9055	PRC1
23533	PIK3R5
80205	CHD9
64327	LMBR1
8975	USP13
80319	CXXC4
130271	PLEKHH2
8131	NPRL3
2776	GNAQ
7128	TNFAIP3
5965	RECQL
4337	MOCS1
83990	BRIP1
419	ART3
1305	COL13A1
51067	YARS2
116150	NUS1
2984	GUCY2C
4600	MX2
60436	TGIF2
4676	NAP1L4
56986	DTWD1
7472	WNT2
4678	NASP
5690	PSMB2
5889	RAD51C
80155	NAA15
255877	BCL6B
59349	KLHL12
6297	SALL2
83998	REG4
285	ANGPT2
1326	MAP3K8
5794	PTPRH
51444	RNF138
57715	SEMA4G
51264	MRPL27
4061	LY6E
56667	MUC13
2091	FBL
9650	MTFR1
79646	PANK3
11119	BTN3A1
131544	CRYBG3
5360	PLTP
2175	FANCA
10344	CCL26
5733	PTGER3
1755	DMBT1
54948	MRPL16
55094	GPATCH1
83548	COG3
622	BDH1
27253	PCDH17
22888	UBOX5
10905	MAN1A2
51121	RPL26L1
4017	LOXL2
219972	MPEG1
6728	SRP19
56984	PSMG2
3209	HOXA13
57214	CEMIP
7283	TUBG1
4173	MCM4
113791	PIK3IP1
6867	TACC1
79668	PARP8
53346	TM6SF1
6717	SRI
93134	ZNF561
3276	PRMT1
23658	LSM5
9459	ARHGEF6
26235	FBXL4
79026	AHNAK
5017	OVOL1
57556	SEMA6A
6100	RP9
51427	ZNF107
118980	SFXN2
4013	VWA5A
112574	SNX18
286336	FAM78A
2674	GFRA1
2582	GALE
259266	ASPM
6801	STRN
54503	ZDHHC13
23548	TTC33
157769	FAM91A1
113251	LARP4
79366	HMGN5
51203	NUSAP1
968	CD68
222487	ADGRG3
9289	ADGRG1
1212	CLTB
2982	GUCY1A1
64098	PARVG
11260	XPOT
10870	HCST
63027	SLC22A23
7468	NSD2
10640	EXOC5
83416	FCRL5
23086	EXPH5
10917	BTNL3
54458	PRR13
26872	STEAP1
7008	TEF
10728	PTGES3
6330	SCN4B
4853	NOTCH2
7718	ZNF165
4582	MUC1
1663	DDX11
9638	FEZ1
2177	FANCD2
1119	CHKA
51754	TMEM8B
285598	ARL10
51105	PHF20L1
1056	CEL
2686	GGT7
116461	TSEN15
79782	LRRC31
221656	KDM1B
7275	TUB
254428	SLC41A1
84870	RSPO3
285016	ALKAL2
2202	EFEMP1
26512	INTS6
4907	NT5E
84612	PARD6B
80179	MYO19
4883	NPR3
6674	SPAG1
64078	SLC28A3
11179	ZNF277
283234	CCDC88B
191	AHCY
26610	ELP4
64785	GINS3
83857	TMTC1
10236	HNRNPR
54951	COMMD8
55366	LGR4
1445	CSK
5562	PRKAA1
84708	LNX1
952	CD38
916	CD3E
9148	NEURL1
3488	IGFBP5
6652	SORD
7498	XDH
5579	PRKCB
55554	KLK15
140707	BRI3BP
65057	ACD
7048	TGFBR2
26249	KLHL3
8452	CUL3
90459	ERI1
51257	MARCHF2
759	CA1
84263	HSDL2
5606	MAP2K3
11037	STON1
57198	ATP8B2
11335	CBX3
7398	USP1
6504	SLAMF1
54826	GIN1
1015	CDH17
79140	CCDC28B
51816	ADA2
54629	MINDY2
80149	ZC3H12A
90333	ZNF468
55501	CHST12
5724	PTAFR
2631	NIPSNAP2
337876	CHSY3
9844	ELMO1
6041	RNASEL
719	C3AR1
28969	BZW2
27349	MCAT
344558	SH3RF3
25961	NUDT13
26278	SACS
93100	NAPRT
4129	MAOB
51023	MRPS18C
26253	CLEC4E
3170	FOXA2
83478	ARHGAP24
9439	MED23
5136	PDE1A
55695	NSUN5
6935	ZEB1
3576	CXCL8
7125	TNNC2
130574	LYPD6
55572	FOXRED1
283209	PGM2L1
124540	MSI2
51142	CHCHD2
2013	EMP2
2168	FABP1
4814	NINJ1
1912	PHC2
4059	BCAM
2237	FEN1
55800	SCN3B
1080	CFTR
80736	SLC44A4
22919	MAPRE1
6560	SLC12A4
9604	RNF14
6249	CLIP1
55355	HJURP
253260	RICTOR
7512	XPNPEP2
79442	LRRC2
23301	EHBP1
7453	WARS1
5522	PPP2R2C
145567	TTC7B
143884	CWF19L2
10165	SLC25A13
55722	CEP72
6523	SLC5A1
65265	C8orf33
6342	SCP2
145581	LRFN5
9066	SYT7
5357	PLS1
6198	RPS6KB1
27123	DKK2
8694	DGAT1
143689	PIWIL4
79576	NKAP
55281	TMEM140
6498	SKIL
4507	MTAP
10953	TOMM34
285282	RABL3
4953	ODC1
55226	NAT10
7295	TXN
4920	ROR2
285382	C3orf70
10933	MORF4L1
5660	PSAP
22847	ZNF507
8723	SNX4
27068	PPA2
55824	PAG1
4015	LOX
286530	P2RY8
25891	PAMR1
117143	TADA1
57631	LRCH2
81849	ST6GALNAC5
54816	ZNF280D
160418	TMTC3
10010	TANK
9804	TOMM20
28966	SNX24
8994	LIMD1
3557	IL1RN
4640	MYO1A
60488	MRPS35
7366	UGT2B15
6303	SAT1
6595	SMARCA2
196051	PLPP4
56674	TMEM9B
7534	YWHAZ
79572	ATP13A3
9159	PCSK7
8548	BLZF1
993	CDC25A
1479	CSTF3
23406	COTL1
55631	LRRC40
4648	MYO7B
56256	SERTAD4
3784	KCNQ1
9764	KIAA0513
7292	TNFSF4
2886	GRB7
79083	MLPH
771	CA12
10460	TACC3
151987	PPP4R2
58472	SQOR
3669	ISG20
23788	MTCH2
5440	POLR2K
3479	IGF1
51661	FKBP7
113878	DTX2
55917	CTTNBP2NL
857	CAV1
26137	ZBTB20
8490	RGS5
57732	ZFYVE28
657	BMPR1A
1842	ECM2
8605	PLA2G4C
23120	ATP10B
994	CDC25B
27040	LAT
81706	PPP1R14C
56255	TMX4
56548	CHST7
80760	ITIH5
80324	PUS1
5834	PYGB
2049	EPHB3
112840	WDR89
54857	GDPD2
81792	ADAMTS12
54475	NLE1
9700	ESPL1
51319	RSRC1
3627	CXCL10
157638	LRATD2
26119	LDLRAP1
3752	KCND3
80728	ARHGAP39
2710	GK
229	ALDOB
2330	FMO5
200942	KLHDC8B
79624	ARMT1
54536	EXOC6
10481	HOXB13
284004	HEXD
3223	HOXC6
283130	SLC25A45
4627	MYH9
6191	RPS4X
8321	FZD1
2034	EPAS1
7094	TLN1
29974	A1CF
5209	PFKFB3
2069	EREG
114799	ESCO1
11056	DDX52
53981	CPSF2
4915	NTRK2
50999	TMED5
1294	COL7A1
5465	PPARA
28957	MRPS28
5176	SERPINF1
24138	IFIT5
9935	MAFB
286205	SCAI
11004	KIF2C
3420	IDH3B
12	SERPINA3
7037	TFRC
3172	HNF4A
93185	IGSF8
890	CCNA2
10419	PRMT5
3315	HSPB1
10351	ABCA8
6904	TBCD
78988	MRPL57
2920	CXCL2
55204	GOLPH3L
10243	GPHN
116362	RBP7
285195	SLC9A9
9510	ADAMTS1
10810	WASF3
114990	VASN
55632	G2E3
4320	MMP11
10158	PDZK1IP1
84061	MAGT1
159090	PABIR2
27072	VPS41
4613	MYCN
3690	ITGB3
285855	RPL7L1
122786	FRMD6
794	CALB2
9321	TRIP11
256949	KANK3
221035	REEP3
57722	IGDCC4
131177	FAM3D
5293	PIK3CD
57664	PLEKHA4
26092	TOR1AIP1
91057	CCDC34
4246	SCGB2A1
23225	NUP210
51241	COX16
466	ATF1
140	ADORA3
168544	ZNF467
23649	POLA2
2239	GPC4
28977	MRPL42
285613	RELL2
10551	AGR2
10213	PSMD14
11033	ADAP1
59345	GNB4
1756	DMD
54796	BNC2
222663	SCUBE3
118	ADD1
7984	ARHGEF5
7373	COL14A1
6920	TCEA3
29015	SLC43A3
7277	TUBA4A
999	CDH1
7535	ZAP70
22807	IKZF2
9073	CLDN8
57381	RHOJ
5331	PLCB3
221472	FGD2
56257	MEPCE
2040	STOM
4121	MAN1A1
51097	SCCPDH
23461	ABCA5
118472	ZNF511
942	CD86
9037	SEMA5A
6856	SYPL1
59338	PLEKHA1
441168	CALHM6
51699	VPS29
84524	ZC3H8
8518	ELP1
649	BMP1
5629	PROX1
55892	MYNN
8722	CTSF
6049	RNF6
6636	SNRPF
322	APBB1
4925	NUCB2
634	CEACAM1
55623	THUMPD1
56944	OLFML3
54884	RETSAT
23333	DPY19L1
113612	CYP2U1
6744	ITPRID2
80775	TMEM177
11163	NUDT4
55028	C17orf80
55529	PIP4P2
3400	ID4
388650	DIPK1A
8850	KAT2B
1562	CYP2C18
79915	ATAD5
221830	POLR1F
113828	FAM83F
54810	GIPC2
134145	ATPSCKMT
7976	FZD3
57120	GOPC
85360	SYDE1
54453	RIN2
84376	HOOK3
201266	SLC39A11
57614	RELCH
10856	RUVBL2
1893	ECM1
8013	NR4A3
10000	AKT3
9644	SH3PXD2A
201254	CENPX
7409	VAV1
1997	ELF1
3157	HMGCS1
81932	HDHD3
7306	TYRP1
51280	GOLM1
51560	RAB6B
22861	NLRP1
8572	PDLIM4
966	CD59
5781	PTPN11
23090	ZNF423
8829	NRP1
5069	PAPPA
28978	TMEM14A
10468	FST
7175	TPR
2444	FRK
140803	TRPM6
5817	PVR
493869	GPX8
348262	MCRIP1
84281	C2orf88
203228	C9orf72
10982	MAPRE2
1977	EIF4E
57103	TIGAR
84264	HAGHL
9156	EXO1
5101	PCDH9
1160	CKMT2
255738	PCSK9
5605	MAP2K2
2042	EPHA3
83937	RASSF4
4478	MSN
813	CALU
5435	POLR2F
55727	BTBD7
26586	CKAP2
154007	SNRNP48
23443	SLC35A3
51634	RBMX2
5442	POLRMT
6319	SCD
2954	GSTZ1
113402	SFT2D1
160857	CCDC122
3695	ITGB7
8061	FOSL1
1456	CSNK1G3
3696	ITGB8
3169	FOXA1
10170	DHRS9
57498	KIDINS220
64431	ACTR6
137695	TMEM68
54346	UNC93A
154810	AMOTL1
85440	DOCK7
55781	RIOK2
10635	RAD51AP1
10762	NUP50
8989	TRPA1
4884	NPTX1
5241	PGR
51626	DYNC2LI1
6546	SLC8A1
18	ABAT
4306	NR3C2
83732	RIOK1
79183	TTPAL
221416	C6orf223
55165	CEP55
23284	ADGRL3
4675	NAP1L3
9824	ARHGAP11A
81603	TRIM8
43849	KLK12
1207	CLNS1A
51773	RSF1
8476	CDC42BPA
580	BARD1
7357	UGCG
22852	ANKRD26
7447	VSNL1
5747	PTK2
474	ATOH1
5591	PRKDC
5475	PPEF1
51316	PLAC8
56990	CDC42SE2
23161	SNX13
730	C7
2625	GATA3
2335	FN1
3339	HSPG2
91433	RCCD1
4854	NOTCH3
117178	SSX2IP
64081	PBLD
89846	FGD3
65999	LRRC61
64766	S100PBP
7423	VEGFB
6635	SNRPE
85463	ZC3H12C
23705	CADM1
51647	CIAO2B
5321	PLA2G4A
64115	VSIR
56977	STOX2
7033	TFF3
84146	ZNF644
55119	PRPF38B
22	ABCB7
513	ATP5F1D
941	CD80
29886	SNX8
9057	SLC7A6
84340	GFM2
2288	FKBP4
113174	SAAL1
54919	DNAAF5
93	ACVR2B
9329	GTF3C4
619279	ZNF704
889	KRIT1
51201	ZDHHC2
5718	PSMD12
1389	CREBL2
10621	POLR3F
594	BCKDHB
1717	DHCR7
9509	ADAMTS2
11059	WWP1
2591	GALNT3
144402	CPNE8
23170	TTLL12
64581	CLEC7A
55332	DRAM1
56605	ERO1B
1376	CPT2
254048	UBN2
9112	MTA1
1876	E2F6
5290	PIK3CA
5701	PSMC2
10595	ERN2
8505	PARG
84171	LOXL4
114897	C1QTNF1
51053	GMNN
4135	MAP6
1508	CTSB
79589	RNF128
55435	AP1AR
51528	JKAMP
2006	ELN
3688	ITGB1
25896	INTS7
256281	NUDT14
5272	SERPINB9
1644	DDC
9863	MAGI2
89765	RSPH1
23036	ZNF292
80781	COL18A1
10752	CHL1
7525	YES1
776	CACNA1D
64395	GMCL1
841	CASP8
79822	ARHGAP28
255488	RNF144B
10137	RBM12
10007	GNPDA1
6400	SEL1L
54790	TET2
6888	TALDO1
84311	MRPL45
1809	DPYSL3
23395	LARS2
5831	PYCR1
7108	TM7SF2
166378	SPATA5
84333	PCGF5
80818	ZNF436
54751	FBLIM1
4552	MTRR
9214	FCMR
54491	OTULINL
2022	ENG
246243	RNASEH1
6645	SNTB2
57161	PELI2
658	BMPR1B
3268	AGFG2
10398	MYL9
218	ALDH3A1
53834	FGFRL1
10529	NEBL
55502	HES6
9821	RB1CC1
10873	ME3
51705	EMCN
9580	SOX13
57211	ADGRG6
9732	DOCK4
10926	DBF4
54517	PUS7
7432	VIP
3055	HCK
58504	ARHGAP22
54985	HCFC1R1
25937	WWTR1
55001	TTC22
91151	TIGD7
25976	TIPARP
220108	FAM124A
55276	PGM2
84126	ATRIP
9184	BUB3
57563	KLHL8
7263	TST
9926	LPGAT1
25907	TMEM158
55109	AGGF1
84916	UTP4
29968	PSAT1
29116	MYLIP
10402	ST3GAL6
93986	FOXP2
4345	CD200
3295	HSD17B4
57826	RAP2C
253012	HEPACAM2
8876	VNN1
152559	PAQR3
55156	ARMC1
23753	SDF2L1
4128	MAOA
5371	PML
51185	CRBN
56652	TWNK
2553	GABPB1
10813	UTP14A
2760	GM2A
6938	TCF12
1911	PHC1
5819	NECTIN2
4481	MSR1
1525	CXADR
1894	ECT2
9950	GOLGA5
84240	ZCCHC9
10160	FARP1
9540	TP53I3
79943	ZNF696
51282	SCAND1
57228	SMAGP
169792	GLIS3
23208	SYT11
126014	OSCAR
2036	EPB41L1
860	RUNX2
2950	GSTP1
7704	ZBTB16
10486	CAP2
6689	SPIB
10788	IQGAP2
57669	EPB41L5
3560	IL2RB
23397	NCAPH
5436	POLR2G
29801	ZDHHC8
23266	ADGRL2
1289	COL5A1
3659	IRF1
8434	RECK
1230	CCR1
118672	PSTK
79762	C1orf115
7272	TTK
55859	BEX1
64423	INF2
414	ARSD
64710	NUCKS1
6374	CXCL5
23478	SEC11A
9652	TTC37
8195	MKKS
2517	FUCA1
4881	NPR1
23082	PPRC1
79932	KIAA0319L
3563	IL3RA
23212	RRS1
25802	LMOD1
22931	RAB18
5753	PTK6
10205	MPZL2
257397	TAB3
51495	HACD3
55228	PNMA8A
6443	SGCB
83858	ATAD3B
64756	ATPAF1
23016	EXOSC7
5885	RAD21
64841	GNPNAT1
683	BST1
949	SCARB1
81539	SLC38A1
139322	APOOL
2043	EPHA4
64399	HHIP
23432	GPR161
287	ANK2
23232	TBC1D12
94081	SFXN1
79983	POF1B
66004	LYNX1
26152	ZNF337
9373	PLAA
108	ADCY2
23063	WAPL
29128	UHRF1
79694	MANEA
165	AEBP1
55521	TRIM36
10560	SLC19A2
55212	BBS7
9180	OSMR
57590	WDFY1
116983	ACAP3
221692	PHACTR1
83690	CRISPLD1
8480	RAE1
10458	BAIAP2
6767	ST13
4681	NBL1
9718	ECE2
22808	MRAS
4671	NAIP
3015	H2AZ1
79742	DIPK2B
51663	ZFR
56951	C5orf15
55757	UGGT2
51250	MTRES1
7867	MAPKAPK3
1510	CTSE
10802	SEC24A
4124	MAN2A1
2099	ESR1
253558	LCLAT1
57502	NLGN4X
57187	THOC2
8621	CDK13
90427	BMF
257629	ANKS4B
79807	GSTCD
1901	S1PR1
8894	EIF2S2
7429	VIL1
57102	C12orf4
79077	DCTPP1
139886	SPIN4
23456	ABCB10
84842	HPDL
25849	PARM1
27338	UBE2S
10015	PDCD6IP
51294	PCDH12
116113	FOXP4
80139	ZNF703
8898	MTMR2
6769	STAC
81624	DIAPH3
79710	MORC4
5706	PSMC6
1844	DUSP2
58487	CREBZF
6672	SP100
23246	BOP1
25798	BRI3
4060	LUM
55839	CENPN
6158	RPL28
9528	TMEM59
29785	CYP2S1
10352	WARS2
57221	ARFGEF3
11188	NISCH
64285	RHBDF1
114134	SLC2A13
55803	ADAP2
338440	ANO9
5569	PKIA
55183	RIF1
7058	THBS2
7762	ZNF215
55003	PAK1IP1
3486	IGFBP3
10371	SEMA3A
10198	MPHOSPH9
134728	IRAK1BP1
91860	CALML4
51361	HOOK1
6447	SCG5
201501	ZBTB7C
81631	MAP1LC3B
2752	GLUL
151354	LRATD1
55266	TMEM19
85451	UNK
283358	B4GALNT3
94015	TTYH2
6424	SFRP4
1349	COX7B
23394	ADNP
55052	MRPL20
79634	SCRN3
1555	CYP2B6
6484	ST3GAL4
147920	IGFL2
9435	CHST2
6476	SI
84552	PARD6G
54873	PALMD
113146	AHNAK2
55761	TTC17
51804	SIX4
9136	RRP9
8481	OFD1
254228	CALHM5
23150	FRMD4B
79921	TCEAL4
55057	CRYBG2
5286	PIK3C2A
5414	SEPTIN4
8801	SUCLG2
9898	UBAP2L
92211	CDHR1
114804	RNF157
10248	POP7
79993	ELOVL7
7184	HSP90B1
1107	CHD3
57231	SNX14
256691	MAMDC2
8910	SGCE
7013	TERF1
4068	SH2D1A
7078	TIMP3
56271	BEX4
79669	C3orf52
51429	SNX9
254065	BRWD3
245972	ATP6V0D2
477	ATP1A2
11266	DUSP12
5565	PRKAB2
5048	PAFAH1B1
23491	CES3
3937	LCP2
81606	LBH
10957	PNRC1
5245	PHB
4646	MYO6
1307	COL16A1
8934	RAB29
8754	ADAM9
7581	ZNF33A
11170	FAM107A
9111	NMI
2321	FLT1
5156	PDGFRA
221302	ZUP1
2218	FKTN
23046	KIF21B
55607	PPP1R9A
6844	VAMP2
5425	POLD2
8082	SSPN
9314	KLF4
7494	XBP1
494143	CHAC2
1763	DNA2
5874	RAB27B
84836	ABHD14B
5228	PGF
27290	SPINK4
1806	DPYD
9685	CLINT1
25999	CLIP3
55619	DOCK10
10637	LEFTY1
93627	TBCK
837	CASP4
2653	GCSH
5532	PPP3CB
54869	EPS8L1
1908	EDN3
5257	PHKB
5468	PPARG
7345	UCHL1
8780	RIOK3
3559	IL2RA
960	CD44
10791	VAMP5
9450	LY86
151230	KLHL23
368	ABCC6
83448	PUS7L
64778	FNDC3B
1371	CPOX
6386	SDCBP
827	CAPN6
55610	VPS50
84451	MAP3K21
29967	LRP12
151648	SGO1
64772	ENGASE
83451	ABHD11
57226	LYRM2
5757	PTMA
387103	CENPW
64801	ARV1
83872	HMCN1
50512	PODXL2
587	BCAT2
7127	TNFAIP2
4763	NF1
9833	MELK
7174	TPP2
23234	DNAJC9
7851	MALL
55819	RNF130
27348	TOR1B
1524	CX3CR1
6631	SNRPC
2495	FTH1
10288	LILRB2
5865	RAB3B
23047	PDS5B
26508	HEYL
7106	TSPAN4
53826	FXYD6
677	ZFP36L1
115286	SLC25A26
9734	HDAC9
1201	CLN3
56889	TM9SF3
28982	FLVCR1
64105	CENPK
6480	ST6GAL1
5837	PYGM
4437	MSH3
3109	HLA-DMB
89870	TRIM15
11227	GALNT5
79677	SMC6
51195	RAPGEFL1
4683	NBN
2264	FGFR4
1316	KLF6
8028	MLLT10
79966	SCD5
65266	WNK4
50649	ARHGEF4
637	BID
54097	FAM3B
57403	RAB22A
56994	CHPT1
4035	LRP1
51087	YBX2
51510	CHMP5
55795	PCID2
64895	PAPOLG
10085	EDIL3
11183	MAP4K5
56901	NDUFA4L2
11320	MGAT4A
56892	TCIM
11231	SEC63
6941	TCF19
51111	KMT5B
9956	HS3ST2
51755	CDK12
29883	CNOT7
5090	PBX3
124808	CCDC43
57343	ZNF304
23400	ATP13A2
90507	SCRN2
348094	ANKDD1A
10556	RPP30
27165	GLS2
137075	CLDN23
687	KLF9
22894	DIS3
1295	COL8A1
22824	HSPA4L
120114	FAT3
55297	CCDC91
1794	DOCK2
54566	EPB41L4B
343	AQP8
313	AOAH
10440	TIMM17A
114294	LACTB
5799	PTPRN2
51284	TLR7
222236	NAPEPLD
1800	DPEP1
4162	MCAM
92255	LMBRD2
117289	TAGAP
7903	ST8SIA4
3491	CCN1
114904	C1QTNF6
64922	LRRC19
165545	DQX1
1675	CFD
1677	DFFB
79882	ZC3H14
91	ACVR1B
4224	MEP1A
1687	GSDME
55646	LYAR
84168	ANTXR1
10669	CGREF1
5504	PPP1R2
55794	DDX28
8436	CAVIN2
11099	PTPN21
23228	PLCL2
9308	CD83
79582	SPAG16
11200	CHEK2
79770	TXNDC15
114899	C1QTNF3
2150	F2RL1
64116	SLC39A8
1308	COL17A1
23189	KANK1
5860	QDPR
23380	SRGAP2
